@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 3\nSize of the tree: 5\n','Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 41\nSize of the tree: 60\n','Number of leaves: 57\nSize of the tree: 83\n','Number of leaves: 35\nSize of the tree: 52\n','Number of leaves: 54\nSize of the tree: 81\n','Number of leaves: 34\nSize of the tree: 48\n','Number of leaves: 44\nSize of the tree: 64\n','Number of leaves: 76\nSize of the tree: 113\n','Number of leaves: 69\nSize of the tree: 111\n','Number of leaves: 62\nSize of the tree: 92\n','Number of leaves: 2\nSize of the tree: 3\n','Number of leaves: 53\nSize of the tree: 81\n','Number of leaves: 41\nSize of the tree: 59\n','Number of leaves: 62\nSize of the tree: 89\n','Number of leaves: 61\nSize of the tree: 92\n','Number of leaves: 47\nSize of the tree: 70\n','Number of leaves: 30\nSize of the tree: 42\n','Number of leaves: 54\nSize of the tree: 82\n','Number of leaves: 47\nSize of the tree: 71\n','Number of leaves: 33\nSize of the tree: 48\n','Number of leaves: 63\nSize of the tree: 125\n','Number of leaves: 60\nSize of the tree: 119\n','Number of leaves: 50\nSize of the tree: 99\n','Number of leaves: 51\nSize of the tree: 101\n','Number of leaves: 72\nSize of the tree: 143\n','Number of leaves: 46\nSize of the tree: 91\n','Number of leaves: 58\nSize of the tree: 115\n','Number of leaves: 47\nSize of the tree: 93\n','Number of leaves: 57\nSize of the tree: 113\n','Number of leaves: 41\nSize of the tree: 81\n','Number of leaves: 68\nSize of the tree: 135\n','Number of leaves: 45\nSize of the tree: 89\n','Number of leaves: 56\nSize of the tree: 111\n','Number of leaves: 55\nSize of the tree: 109\n','Number of leaves: 54\nSize of the tree: 107\n','Number of leaves: 5\nSize of the tree: 9\n'}
@attribute measureOutOfBagError numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

contact-lenses,10,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,18,6,5,1,0,83.333333,16.666667,0,0.666667,0.111111,0.333333,30.434783,80.472175,7.692126,1074,-1066.307874,1.282021,179,-177.717979,4.994954,0.832492,64.935938,1,1,0.2,1,0.8,4,0,0,0.5,1,0.666667,0.632456,0.9,0.5,0.833333,0.033333,0.966667,0.166667,?,0.833333,?,?,0.9,0.777778,?,0.833333,0,0,0,0,0,0,1339,2969,2141,83.333333,33.333333,?,?,?,?,?
contact-lenses,11,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,17,7,5,2,0,71.428571,28.571429,0,0.517241,0.190476,0.436436,50,99.014754,9.913647,2148,-2138.086353,1.416235,306.857143,-305.440908,5.210897,0.744414,52.562866,1,2,0.4,2,0.6,3,0,0,0.5,1,0.666667,0.547723,0.8,0.5,0.714286,0.114286,0.885714,0.285714,?,0.714286,?,?,0.8,0.673469,?,0.714286,0,0,0,0,0,0,1339,2900,2210,71.428571,33.333333,?,?,?,?,?
contact-lenses,12,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,17,7,4,3,0,57.142857,42.857143,0,0,0.285714,0.534522,75,121.267813,9.913647,3222,-3212.086353,1.416235,460.285714,-458.869479,1.982078,0.283154,19.993431,0,0,0,0,1,5,1,2,?,0,?,?,0.5,0.285714,0.571429,0.571429,0.428571,0.428571,?,0.571429,?,?,0.5,0.428571,?,0.571429,0,0,0,0,0,0,1366,2900,2210,57.142857,33.333333,?,?,?,?,?
contact-lenses,13,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,17,7,2,5,0,28.571429,71.428571,0,-0.060606,0.47619,0.690066,125,156.556073,9.913647,5370,-5360.086353,1.416235,767.142857,-765.726622,-2.135709,-0.305101,-21.543125,0,0,0,0,1,5,1,2,?,0,?,?,0.5,0.285714,0.285714,0.285714,0.714286,0.714286,?,0.285714,?,?,0.5,0.455782,?,0.285714,0,0,0,0,0,0,1366,2900,2210,28.571429,33.333333,?,?,?,?,?
contact-lenses,14,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,17,7,4,3,0,57.142857,42.857143,0,0.3,0.285714,0.534522,78.947368,132.16372,8.63441,3222,-3213.36559,1.233487,460.285714,-459.052227,1.961555,0.280222,22.717882,1,1,0.5,3,0.5,3,0,0,0.25,1,0.4,0.353553,0.75,0.25,0.571429,0.071429,0.928571,0.428571,?,0.571429,?,?,0.75,0.688776,?,0.571429,0,0,0,0,0,0,1339,2900,2210,57.142857,33.333333,?,?,?,?,?
contact-lenses,15,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,18,6,4,2,0,66.666667,33.333333,0,0.428571,0.222222,0.471405,60.869565,113.804841,7.692126,2148,-2140.307874,1.282021,358,-356.717979,2.965207,0.494201,38.548601,1,1,0.4,2,0.6,3,0,0,0.333333,1,0.5,0.447214,0.8,0.333333,0.666667,0.066667,0.933333,0.333333,?,0.666667,?,?,0.8,0.694444,?,0.666667,0,0,0,0,0,0,1339,2969,2141,66.666667,33.333333,?,?,?,?,?
contact-lenses,16,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,17,7,4,3,0,57.142857,42.857143,0,0.322581,0.285714,0.534522,75,121.267813,9.913647,3222,-3212.086353,1.416235,460.285714,-458.869479,3.152003,0.450286,31.794588,1,2,0.6,3,0.4,2,0,0,0.4,1,0.571429,0.4,0.7,0.4,0.571429,0.171429,0.828571,0.428571,?,0.571429,?,?,0.7,0.583673,?,0.571429,0,0,0,0,0,0,1339,2900,2210,57.142857,33.333333,?,?,?,?,?
contact-lenses,17,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,18,6,4,2,0,66.666667,33.333333,0,0.428571,0.222222,0.471405,60.869565,113.804841,7.692126,2148,-2140.307874,1.282021,358,-356.717979,2.965207,0.494201,38.548601,1,1,0.4,2,0.6,3,0,0,0.333333,1,0.5,0.447214,0.8,0.333333,0.666667,0.066667,0.933333,0.333333,?,0.666667,?,?,0.8,0.694444,?,0.666667,0,0,0,0,0,0,1339,2969,2141,66.666667,33.333333,?,?,?,?,?
contact-lenses,18,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,18,6,5,1,0,83.333333,16.666667,0,0.666667,0.111111,0.333333,30.434783,80.472175,7.692126,1074,-1066.307874,1.282021,179,-177.717979,4.994954,0.832492,64.935938,1,1,0.2,1,0.8,4,0,0,0.5,1,0.666667,0.632456,0.9,0.5,0.833333,0.033333,0.966667,0.166667,?,0.833333,?,?,0.9,0.777778,?,0.833333,0,0,0,0,0,0,1339,2969,2141,83.333333,33.333333,?,?,?,?,?
contact-lenses,19,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,17,7,4,3,0,57.142857,42.857143,0,0,0.285714,0.534522,75,121.267813,9.913647,3222,-3212.086353,1.416235,460.285714,-458.869479,1.982078,0.283154,19.993431,0,0,0,0,1,5,1,2,?,0,?,?,0.5,0.285714,0.571429,0.571429,0.428571,0.428571,?,0.571429,?,?,0.5,0.428571,?,0.571429,0,0,0,0,0,0,1366,2900,2210,57.142857,33.333333,?,?,?,?,?
contact-lenses,20,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,16,8,5,3,0,62.5,37.5,0,0.384615,0.25,0.5,67.058824,117.607048,10.686262,3222,-3211.313738,1.335783,402.75,-401.414217,4.024451,0.503056,37.660042,1,2,0.5,3,0.5,3,0,0,0.4,1,0.571429,0.447214,0.75,0.4,0.625,0.125,0.875,0.375,?,0.625,?,?,0.75,0.646875,?,0.625,0,0,0,0,0,0,1339,2831,2279,62.5,33.333333,?,?,?,?,?
credit-g_simple,1,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,700,300,208,92,0,69.333333,30.666667,0,0.105058,0.306667,0.553775,72.976271,120.843502,264.387604,98808,-98543.612396,0.881292,329.36,-328.478708,57.389809,0.191299,21.706694,0.919048,193,0.833333,75,0.166667,15,0.080952,17,0.720149,0.919048,0.807531,0.127245,0.542857,0.718518,0.693333,0.607619,0.392381,0.306667,0.644729,0.693333,0.639042,0.127245,0.542857,0.6014,0.526717,0.693333,0,0,0,0,0,0,1360,61616,27616,69.333333,50,?,?,?,?,?
credit-g_simple,2,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,700,300,200,100,0,66.666667,33.333333,0,0.090909,0.333333,0.57735,79.322034,125.98806,264.387604,107400,-107135.612396,0.881292,358,-357.118708,39.39,0.1313,14.898581,0.857143,180,0.777778,70,0.222222,20,0.142857,30,0.72,0.857143,0.782609,0.09759,0.539683,0.717143,0.666667,0.587302,0.412698,0.333333,0.624,0.666667,0.63354,0.09759,0.539683,0.598667,0.534161,0.666667,0,0,0,0,0,0,1432,61616,27616,66.666667,50,?,?,?,?,?
credit-g_simple,3,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,700,300,202,98,0,67.333333,32.666667,0,0.089219,0.326667,0.571548,77.735593,124.721816,264.387604,105252,-104987.612396,0.881292,350.84,-349.958708,43.889952,0.1463,16.600609,0.87619,184,0.8,72,0.2,18,0.12381,26,0.71875,0.87619,0.7897,0.098693,0.538095,0.716429,0.673333,0.597143,0.402857,0.326667,0.625852,0.673333,0.633387,0.098693,0.538095,0.598045,0.529178,0.673333,0,0,0,0,0,0,1384,61616,27616,67.333333,50,?,?,?,?,?
credit-g_simple,4,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,700,300,193,107,0,64.333333,35.666667,0,0.023723,0.356667,0.597216,84.874576,130.323063,264.387604,114918,-114653.612396,0.881292,383.06,-382.178708,23.640168,0.078801,8.941481,0.842857,177,0.822222,74,0.177778,16,0.157143,33,0.705179,0.842857,0.767896,0.02558,0.510317,0.704365,0.643333,0.622698,0.377302,0.356667,0.591585,0.643333,0.606592,0.02558,0.510317,0.584471,0.499056,0.643333,0,0,0,0,0,0,1480,61616,27616,64.333333,50,?,?,?,?,?
credit-g_simple,5,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,700,300,195,105,0,65,35,0,0.088542,0.35,0.591608,83.288136,129.099345,264.387604,112770,-112505.612396,0.881292,375.9,-375.018708,28.14012,0.0938,10.64351,0.814286,171,0.733333,66,0.266667,24,0.185714,39,0.721519,0.814286,0.765101,0.091079,0.540476,0.717523,0.65,0.569048,0.430952,0.35,0.619349,0.65,0.629688,0.091079,0.540476,0.598742,0.539413,0.65,0,0,0,0,0,0,1444,61616,27616,65,50,?,?,?,?,?
credit-g_simple,6,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,700,300,202,98,0,67.333333,32.666667,0,0.102564,0.326667,0.571548,77.735593,124.721816,264.387604,105252,-104987.612396,0.881292,350.84,-349.958708,43.889952,0.1463,16.600609,0.866667,182,0.777778,70,0.222222,20,0.133333,28,0.722222,0.866667,0.787879,0.111111,0.544444,0.719259,0.673333,0.584444,0.415556,0.326667,0.630556,0.673333,0.638472,0.111111,0.544444,0.601259,0.538867,0.673333,0.015,0,0.015625,0,15.625,0,1420,61616,27616,67.333333,50,?,?,?,?,?
credit-g_simple,7,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,700,300,197,103,0,65.666667,34.333333,0,0.053309,0.343333,0.585947,81.701695,127.863916,264.387604,110622,-110357.612396,0.881292,368.74,-367.858708,32.640072,0.1088,12.345538,0.857143,180,0.811111,73,0.188889,17,0.142857,30,0.711462,0.857143,0.777538,0.058034,0.523016,0.709825,0.656667,0.610635,0.389365,0.343333,0.606534,0.656667,0.618729,0.058034,0.523016,0.590374,0.512856,0.656667,0,0,0,0,0,0,1432,61616,27616,65.666667,50,?,?,?,?,?
credit-g_simple,8,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,700,300,200,100,0,66.666667,33.333333,0,0.042146,0.333333,0.57735,79.322034,125.98806,264.387604,107400,-107135.612396,0.881292,358,-357.118708,39.39,0.1313,14.898581,0.890476,187,0.855556,77,0.144444,13,0.109524,23,0.708333,0.890476,0.78903,0.049245,0.51746,0.707421,0.666667,0.631746,0.368254,0.333333,0.604167,0.666667,0.614225,0.049245,0.51746,0.587843,0.497689,0.666667,0,0,0,0,0,0,1408,61616,27616,66.666667,50,?,?,?,?,?
credit-g_simple,9,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,700,300,195,105,0,65,35,0,-0.017442,0.35,0.591608,83.288136,129.099345,264.387604,112770,-112505.612396,0.881292,375.9,-375.018708,28.14012,0.0938,10.64351,0.885714,186,0.9,81,0.1,9,0.114286,24,0.696629,0.885714,0.779874,-0.020923,0.492857,0.697014,0.65,0.664286,0.335714,0.35,0.569459,0.65,0.589814,-0.020923,0.492857,0.577092,0.463108,0.65,0,0,0,0,0,0,1384,61616,27616,65,50,?,?,?,?,?
credit-g_simple,10,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,700,300,210,90,0,70,30,0,0.117647,0.3,0.547723,71.389831,119.522769,264.387604,96660,-96395.612396,0.881292,322.2,-321.318708,61.889761,0.206299,23.408723,0.928571,195,0.833333,75,0.166667,15,0.071429,15,0.722222,0.928571,0.8125,0.145479,0.547619,0.720635,0.7,0.604762,0.395238,0.3,0.655556,0.7,0.64375,0.145479,0.547619,0.604444,0.53125,0.7,0,0,0,0,0,0,1360,61616,27616,70,50,?,?,?,?,?
credit-g_simple,11,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,700,300,197,103,0,65.666667,34.333333,0,0.080357,0.343333,0.585947,81.701695,127.863916,264.387604,110622,-110357.612396,0.881292,368.74,-367.858708,32.640072,0.1088,12.345538,0.838095,176,0.766667,69,0.233333,21,0.161905,34,0.718367,0.838095,0.773626,0.084594,0.535714,0.715394,0.656667,0.585238,0.414762,0.343333,0.617403,0.656667,0.628435,0.084594,0.535714,0.596503,0.531641,0.656667,0,0,0,0,0,0,1456,61616,27616,65.666667,50,?,?,?,?,?
credit-g_simple,12,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,700,300,204,96,0,68,32,0,0.120879,0.32,0.565685,76.149153,123.442585,264.387604,103104,-102839.612396,0.881292,343.68,-342.798708,48.389904,0.1613,18.302637,0.871429,183,0.766667,69,0.233333,21,0.128571,27,0.72619,0.871429,0.792208,0.130952,0.552381,0.722823,0.68,0.575238,0.424762,0.32,0.639583,0.68,0.64585,0.130952,0.552381,0.605601,0.548278,0.68,0,0,0,0,0,0,1408,61616,27616,68,50,?,?,?,?,?
credit-g_simple,13,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,700,300,201,99,0,67,33,0,0.0625,0.33,0.574456,78.528814,125.356537,264.387604,106326,-106061.612396,0.881292,354.42,-353.538708,41.639976,0.1388,15.749595,0.885714,186,0.833333,75,0.166667,15,0.114286,24,0.712644,0.885714,0.789809,0.071376,0.52619,0.711199,0.67,0.617619,0.382381,0.33,0.614235,0.67,0.622634,0.071376,0.52619,0.59207,0.511184,0.67,0,0,0,0,0,0,1408,61616,27616,67,50,?,?,?,?,?
credit-g_simple,14,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,700,300,197,103,0,65.666667,34.333333,0,0.067029,0.343333,0.585947,81.701695,127.863916,264.387604,110622,-110357.612396,0.881292,368.74,-367.858708,32.640072,0.1088,12.345538,0.847619,178,0.788889,71,0.211111,19,0.152381,32,0.714859,0.847619,0.775599,0.071649,0.529365,0.712595,0.656667,0.597937,0.402063,0.343333,0.612166,0.656667,0.62377,0.071649,0.529365,0.593411,0.522551,0.656667,0,0,0,0,0,0,1468,61616,27616,65.666667,50,?,?,?,?,?
credit-g_simple,15,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,700,300,184,116,0,61.333333,38.666667,0,-0.032028,0.386667,0.621825,92.013559,135.693294,264.387604,124584,-124319.612396,0.881292,415.28,-414.398708,3.390384,0.011301,1.282354,0.804762,169,0.833333,75,0.166667,15,0.195238,41,0.692623,0.804762,0.744493,-0.033603,0.485714,0.694063,0.613333,0.641905,0.358095,0.386667,0.565193,0.613333,0.582789,-0.033603,0.485714,0.574237,0.474986,0.613333,0,0,0,0,0,0,1432,61616,27616,61.333333,50,?,?,?,?,?
credit-g_simple,16,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,700,300,207,93,0,69,31,0,0.105769,0.31,0.556776,73.769492,121.498485,264.387604,99882,-99617.612396,0.881292,332.94,-332.058708,55.139833,0.183799,20.85568,0.909524,191,0.822222,74,0.177778,16,0.090476,19,0.720755,0.909524,0.804211,0.124622,0.543651,0.718877,0.69,0.602698,0.397302,0.31,0.641671,0.69,0.639747,0.124622,0.543651,0.601595,0.530105,0.69,0,0,0,0,0,0,1348,61616,27616,69,50,?,?,?,?,?
credit-g_simple,17,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,700,300,197,103,0,65.666667,34.333333,0,0.053309,0.343333,0.585947,81.701695,127.863916,264.387604,110622,-110357.612396,0.881292,368.74,-367.858708,32.640072,0.1088,12.345538,0.857143,180,0.811111,73,0.188889,17,0.142857,30,0.711462,0.857143,0.777538,0.058034,0.523016,0.709825,0.656667,0.610635,0.389365,0.343333,0.606534,0.656667,0.618729,0.058034,0.523016,0.590374,0.512856,0.656667,0,0,0,0,0,0,1420,61616,27616,65.666667,50,?,?,?,?,?
credit-g_simple,18,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,700,300,206,94,0,68.666667,31.333333,0,0.169611,0.313333,0.559762,74.562712,122.149956,264.387604,100956,-100691.612396,0.881292,336.52,-335.638708,52.889857,0.1763,20.004666,0.852381,179,0.7,63,0.3,27,0.147619,31,0.739669,0.852381,0.792035,0.176823,0.57619,0.733813,0.686667,0.534286,0.465714,0.313333,0.657424,0.686667,0.663884,0.176823,0.57619,0.618566,0.57845,0.686667,0,0,0,0,0,0,1456,61616,27616,68.666667,50,?,?,?,?,?
