@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 3\nSize of the tree: 5\n','Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 41\nSize of the tree: 60\n','Number of leaves: 57\nSize of the tree: 83\n','Number of leaves: 35\nSize of the tree: 52\n','Number of leaves: 54\nSize of the tree: 81\n','Number of leaves: 34\nSize of the tree: 48\n','Number of leaves: 44\nSize of the tree: 64\n','Number of leaves: 76\nSize of the tree: 113\n','Number of leaves: 69\nSize of the tree: 111\n','Number of leaves: 62\nSize of the tree: 92\n','Number of leaves: 2\nSize of the tree: 3\n','Number of leaves: 53\nSize of the tree: 81\n','Number of leaves: 41\nSize of the tree: 59\n','Number of leaves: 62\nSize of the tree: 89\n','Number of leaves: 61\nSize of the tree: 92\n','Number of leaves: 47\nSize of the tree: 70\n','Number of leaves: 30\nSize of the tree: 42\n','Number of leaves: 54\nSize of the tree: 82\n','Number of leaves: 47\nSize of the tree: 71\n','Number of leaves: 33\nSize of the tree: 48\n','Number of leaves: 63\nSize of the tree: 125\n','Number of leaves: 60\nSize of the tree: 119\n','Number of leaves: 50\nSize of the tree: 99\n','Number of leaves: 51\nSize of the tree: 101\n','Number of leaves: 72\nSize of the tree: 143\n','Number of leaves: 46\nSize of the tree: 91\n','Number of leaves: 58\nSize of the tree: 115\n','Number of leaves: 47\nSize of the tree: 93\n','Number of leaves: 57\nSize of the tree: 113\n','Number of leaves: 41\nSize of the tree: 81\n','Number of leaves: 68\nSize of the tree: 135\n','Number of leaves: 45\nSize of the tree: 89\n','Number of leaves: 56\nSize of the tree: 111\n','Number of leaves: 55\nSize of the tree: 109\n','Number of leaves: 54\nSize of the tree: 107\n','Number of leaves: 5\nSize of the tree: 9\n'}
@attribute measureOutOfBagError numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

credit-g_simple,19,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,700,300,201,99,0,67,33,0,0.076493,0.33,0.574456,78.528814,125.356537,264.387604,106326,-106061.612396,0.881292,354.42,-353.538708,41.639976,0.1388,15.749595,0.87619,184,0.811111,73,0.188889,17,0.12381,26,0.715953,0.87619,0.788009,0.085109,0.53254,0.713978,0.67,0.604921,0.395079,0.33,0.619772,0.67,0.628298,0.085109,0.53254,0.595188,0.521824,0.67,0,0,0,0,0,0,1408,61616,27616,67,50,?,?,?,?,?
credit-g_simple,20,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,700,300,198,102,0,66,34,0,0.065934,0.34,0.583095,80.908475,127.241704,264.387604,109548,-109283.612396,0.881292,365.16,-364.278708,34.890048,0.1163,13.196552,0.857143,180,0.8,72,0.2,18,0.142857,30,0.714286,0.857143,0.779221,0.071429,0.528571,0.712245,0.66,0.602857,0.397143,0.34,0.6125,0.66,0.623715,0.071429,0.528571,0.593071,0.520045,0.66,0,0,0,0,0,0,1408,61616,27616,66,50,?,?,?,?,?
vehicle,1,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,590,256,131,125,0,51.171875,48.828125,0,0.349514,0.244141,0.494106,65.132722,114.136264,511.731115,134250,-133738.268885,1.99895,524.414063,-522.415113,210.576969,0.822566,41.149925,0.328125,21,0.161458,31,0.838542,161,0.671875,43,0.403846,0.328125,0.362069,0.179379,0.583333,0.300481,0.511719,0.162758,0.837242,0.488281,0.495918,0.511719,0.495689,0.341382,0.67448,0.389481,0.497889,0.511719,0.016,0,0,0,0,0,1531,108979,48525,51.171875,25,?,?,?,?,?
vehicle,2,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,594,252,140,112,0,55.555556,44.444444,0,0.408128,0.222222,0.471405,59.285487,108.893072,503.72798,120288,-119784.27202,1.998921,477.333333,-475.334413,234.094458,0.928946,46.472395,0.349206,22,0.100529,19,0.899471,170,0.650794,41,0.536585,0.349206,0.423077,0.291745,0.624339,0.350077,0.555556,0.147925,0.852075,0.444444,0.550355,0.555556,0.535804,0.404417,0.703815,0.421346,0.538178,0.555556,0,0,0,0,0,0,1543,109703,47801,55.555556,25,?,?,?,?,?
vehicle,3,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,593,253,133,120,0,52.56917,47.43083,0,0.366986,0.237154,0.486985,63.268893,112.491677,505.729892,128880,-128374.270108,1.998932,509.407115,-507.408182,216.310448,0.854982,42.771933,0.296875,19,0.126984,24,0.873016,165,0.703125,45,0.44186,0.296875,0.35514,0.196629,0.584945,0.309043,0.525692,0.160188,0.839812,0.474308,0.530986,0.525692,0.520061,0.36824,0.682752,0.406525,0.52307,0.525692,0,0,0,0,0,0,1531,109522,47982,52.56917,25,?,?,?,?,?
vehicle,4,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,593,253,132,121,0,52.173913,47.826087,0,0.363872,0.23913,0.48901,63.796134,112.95942,505.729892,129954,-129448.270108,1.998932,513.652174,-511.653242,214.277089,0.846945,42.369868,0.265625,17,0.111111,21,0.888889,168,0.734375,47,0.447368,0.265625,0.333333,0.188008,0.577257,0.304603,0.521739,0.15802,0.84198,0.478261,0.507151,0.521739,0.501965,0.355867,0.681859,0.398936,0.504275,0.521739,0,0,0,0,0,0,1507,109522,47982,52.173913,25,?,?,?,?,?
vehicle,5,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,591,255,134,121,0,52.54902,47.45098,0,0.367803,0.237255,0.487088,63.294533,112.511524,509.76862,129954,-129444.23138,1.999093,509.623529,-507.624437,218.478509,0.856778,42.858368,0.3125,20,0.115183,22,0.884817,169,0.6875,44,0.47619,0.3125,0.377358,0.230651,0.598658,0.321359,0.52549,0.158457,0.841543,0.47451,0.518654,0.52549,0.515355,0.363193,0.683516,0.401673,0.517691,0.52549,0,0,0,0,0,0,1507,109160,48344,52.54902,25,?,?,?,?,?
vehicle,6,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,592,254,139,115,0,54.724409,45.275591,0,0.396413,0.226378,0.475792,60.39139,109.897833,507.813703,123510,-123002.186297,1.999267,486.259843,-484.260576,230.580421,0.907797,45.406498,0.296875,19,0.1,19,0.9,171,0.703125,45,0.5,0.296875,0.372549,0.239629,0.598437,0.325603,0.547244,0.151635,0.848365,0.452756,0.537801,0.547244,0.533589,0.39078,0.697805,0.420403,0.535726,0.547244,0,0,0,0,0,0,1555,109341,48163,54.724409,25,?,?,?,?,?
vehicle,7,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,593,253,123,130,0,48.616601,51.383399,0,0.316102,0.256917,0.50687,68.538274,117.075936,505.817648,139620,-139114.182352,1.999279,551.857708,-549.858428,193.003365,0.762859,38.156708,0.301587,19,0.131579,25,0.868421,165,0.698413,44,0.431818,0.301587,0.35514,0.193963,0.585004,0.304144,0.486166,0.17033,0.82967,0.513834,0.480449,0.486166,0.474688,0.312525,0.657918,0.370137,0.476334,0.486166,0,0,0,0,0,0,1507,109522,47982,48.616601,25,?,?,?,?,?
vehicle,8,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,593,253,129,124,0,50.988142,49.011858,0,0.347341,0.245059,0.495035,65.374969,114.342269,505.817648,133176,-132670.182352,1.999279,526.387352,-524.388073,207.413893,0.819818,41.005665,0.31746,20,0.168421,32,0.831579,158,0.68254,43,0.384615,0.31746,0.347826,0.159495,0.57452,0.292061,0.509881,0.162979,0.837021,0.490119,0.495886,0.509881,0.498427,0.340025,0.673451,0.395811,0.500321,0.509881,0,0,0,0,0,0,1555,109522,47982,50.988142,25,?,?,?,?,?
vehicle,9,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,592,254,128,126,0,50.393701,49.606299,0,0.339525,0.248031,0.498028,66.172039,115.046516,507.690682,135324,-134816.309318,1.998782,532.771654,-530.772871,204.165831,0.803802,40.214611,0.390625,25,0.168421,32,0.831579,158,0.609375,39,0.438596,0.390625,0.413223,0.231232,0.611102,0.32487,0.503937,0.164684,0.835316,0.496063,0.505832,0.503937,0.501592,0.339134,0.669627,0.393593,0.503289,0.503937,0,0,0,0,0,0,1543,109341,48163,50.393701,25,?,?,?,?,?
vehicle,10,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,592,254,127,127,0,50,50,0,0.334296,0.25,0.5,66.693688,115.491704,507.791905,136398,-135890.208095,1.999181,537,-535.000819,201.801115,0.794493,39.740908,0.444444,28,0.188482,36,0.811518,155,0.555556,35,0.4375,0.444444,0.440945,0.254623,0.627981,0.33224,0.5,0.166035,0.833965,0.5,0.494725,0.5,0.494187,0.330797,0.666983,0.380414,0.496136,0.5,0,0,0,0,0,0,1555,109341,48163,50,25,?,?,?,?,?
vehicle,11,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,592,254,136,118,0,53.543307,46.456693,0,0.381702,0.232283,0.481958,61.966817,111.322055,507.813703,126732,-126224.186297,1.999267,498.944882,-496.945615,223.899109,0.881493,44.090797,0.484375,31,0.2,38,0.8,152,0.515625,33,0.449275,0.484375,0.466165,0.277554,0.642188,0.347539,0.535433,0.154077,0.845923,0.464567,0.516597,0.535433,0.514416,0.371657,0.690678,0.411239,0.516975,0.535433,0,0,0,0,0,0,1543,109341,48163,53.543307,25,?,?,?,?,?
vehicle,12,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,592,254,136,118,0,53.543307,46.456693,0,0.381982,0.232283,0.481958,61.966817,111.322055,507.813703,126732,-126224.186297,1.999267,498.944882,-496.945615,224.035774,0.882031,44.117709,0.34375,22,0.152632,29,0.847368,161,0.65625,42,0.431373,0.34375,0.382609,0.207127,0.595559,0.313639,0.535433,0.153782,0.846218,0.464567,0.520861,0.535433,0.51928,0.374266,0.690825,0.411624,0.521762,0.535433,0,0,0,0,0,0,1495,109341,48163,53.543307,25,?,?,?,?,?
vehicle,13,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,593,253,115,138,0,45.454545,54.545455,0,0.272519,0.272727,0.522233,72.756014,120.624495,505.817648,148212,-147706.182352,1.999279,585.818182,-583.818903,172.87779,0.683311,34.177888,0.285714,18,0.152632,29,0.847368,161,0.714286,45,0.382979,0.285714,0.327273,0.147974,0.566541,0.287288,0.454545,0.182417,0.817583,0.545455,0.452707,0.454545,0.451089,0.271197,0.636064,0.353335,0.451758,0.454545,0,0,0,0,0,0,1555,109522,47982,45.454545,25,?,?,?,?,?
vehicle,14,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,592,254,132,122,0,51.968504,48.031496,0,0.360135,0.240157,0.490059,64.071339,113.205653,507.690682,131028,-130520.309318,1.998782,515.858268,-513.859486,213.883529,0.842061,42.128709,0.390625,25,0.173684,33,0.826316,157,0.609375,39,0.431034,0.390625,0.409836,0.224371,0.60847,0.321916,0.519685,0.160398,0.839602,0.480315,0.515322,0.519685,0.5131,0.356585,0.679644,0.39465,0.515823,0.519685,0,0,0,0,0,0,1555,109341,48163,51.968504,25,?,?,?,?,?
vehicle,15,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,593,253,117,136,0,46.245059,53.754941,0,0.283629,0.268775,0.518435,71.701579,119.747214,505.817648,146064,-145558.182352,1.999279,577.328063,-575.328784,177.704802,0.702391,35.132187,0.333333,21,0.157895,30,0.842105,160,0.666667,42,0.411765,0.333333,0.368421,0.189109,0.587719,0.303263,0.462451,0.178801,0.821199,0.537549,0.454854,0.462451,0.454561,0.279939,0.641825,0.350839,0.454989,0.462451,0,0,0,0,0,0,1591,109522,47982,46.245059,25,?,?,?,?,?
vehicle,16,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,592,254,140,114,0,55.11811,44.88189,0,0.402575,0.224409,0.473719,59.866247,109.418973,507.813703,122436,-121928.186297,1.999267,482.031496,-480.03223,233.416723,0.918963,45.96503,0.359375,23,0.152632,29,0.847368,161,0.640625,41,0.442308,0.359375,0.396552,0.222444,0.603372,0.320372,0.551181,0.148912,0.851088,0.448819,0.534647,0.551181,0.534115,0.394035,0.701135,0.422911,0.536316,0.551181,0,0,0,0,0,0,1507,109341,48163,55.11811,25,?,?,?,?,?
vehicle,17,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,593,253,118,135,0,46.640316,53.359684,0,0.289267,0.266798,0.516525,71.174362,119.306154,505.817648,144990,-144484.182352,1.999279,573.083004,-571.083725,180.963714,0.715272,35.776473,0.174603,11,0.105263,20,0.894737,170,0.825397,52,0.354839,0.174603,0.234043,0.091448,0.53467,0.26749,0.466403,0.177856,0.822144,0.533597,0.443957,0.466403,0.442374,0.277764,0.644273,0.358289,0.444382,0.466403,0,0,0,0,0,0,1531,109522,47982,46.640316,25,?,?,?,?,?
vehicle,18,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,592,254,136,118,0,53.543307,46.456693,0,0.380885,0.232283,0.481958,61.97064,111.334356,507.690682,126732,-126224.309318,1.998782,498.944882,-496.9461,223.338147,0.879284,43.990988,0.375,24,0.126316,24,0.873684,166,0.625,40,0.5,0.375,0.428571,0.275779,0.624342,0.34498,0.535433,0.155142,0.844858,0.464567,0.530122,0.535433,0.529152,0.377305,0.690146,0.409533,0.531107,0.535433,0.016,0,0.015625,0,15.625,0,1555,109341,48163,53.543307,25,?,?,?,?,?
vehicle,19,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,593,253,129,124,0,50.988142,49.011858,0,0.347545,0.245059,0.495035,65.374969,114.342269,505.817648,133176,-132670.182352,1.999279,526.387352,-524.388073,207.255314,0.819191,40.974315,0.412698,26,0.189474,36,0.810526,154,0.587302,37,0.419355,0.412698,0.416,0.224428,0.611612,0.319312,0.509881,0.162479,0.837521,0.490119,0.497734,0.509881,0.494081,0.340915,0.673701,0.387863,0.495877,0.509881,0,0,0,0,0,0,1543,109522,47982,50.988142,25,?,?,?,?,?
vehicle,20,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,593,253,135,118,0,53.359684,46.640316,0,0.378119,0.233202,0.482909,62.211664,111.541625,505.817648,126732,-126226.182352,1.999279,500.916996,-498.917717,221.324035,0.874799,43.755697,0.333333,21,0.131579,25,0.868421,165,0.666667,42,0.456522,0.333333,0.385321,0.226207,0.600877,0.318182,0.533597,0.15586,0.84414,0.466403,0.523003,0.533597,0.524289,0.372794,0.688868,0.407191,0.525268,0.533597,0,0,0,0,0,0,1579,109522,47982,53.359684,25,?,?,?,?,?
iris,1,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,105,45,43,2,0,95.555556,4.444444,0,0.933333,0.02963,0.172133,6.666667,36.514837,71.323313,2148,-2076.676687,1.584963,47.733333,-46.148371,66.983463,1.488521,93.915243,1,15,0,0,1,30,0,0,1,1,1,1,1,1,0.955556,0.022222,0.977778,0.044444,0.960784,0.955556,0.955357,0.936291,0.966667,0.931155,0.955357,0.955556,0,0,0,0,0,0,1300,8563,4423,95.555556,33.333333,?,?,?,?,?
iris,2,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,105,45,43,2,0,95.555556,4.444444,0,0.933333,0.02963,0.172133,6.666667,36.514837,71.323313,2148,-2076.676687,1.584963,47.733333,-46.148371,66.983463,1.488521,93.915243,1,15,0,0,1,30,0,0,1,1,1,1,1,1,0.955556,0.022222,0.977778,0.044444,0.955556,0.955556,0.955556,0.933333,0.966667,0.928889,0.955556,0.955556,0,0,0,0,0,0,1300,8563,4423,95.555556,33.333333,?,?,?,?,?
iris,3,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,105,45,43,2,0,95.555556,4.444444,0,0.933333,0.02963,0.172133,6.666667,36.514837,71.323313,2148,-2076.676687,1.584963,47.733333,-46.148371,66.983463,1.488521,93.915243,1,15,0,0,1,30,0,0,1,1,1,1,1,1,0.955556,0.022222,0.977778,0.044444,0.960784,0.955556,0.955357,0.936291,0.966667,0.931155,0.955357,0.955556,0,0,0,0,0,0,1300,8563,4423,95.555556,33.333333,?,?,?,?,?
iris,4,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,105,45,43,2,0,95.555556,4.444444,0,0.933333,0.02963,0.172133,6.666667,36.514837,71.323313,2148,-2076.676687,1.584963,47.733333,-46.148371,66.983463,1.488521,93.915243,1,15,0,0,1,30,0,0,1,1,1,1,1,1,0.955556,0.022222,0.977778,0.044444,0.960784,0.955556,0.955357,0.936291,0.966667,0.931155,0.955357,0.955556,0,0,0,0,0,0,1300,8563,4423,95.555556,33.333333,?,?,?,?,?
iris,5,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,105,45,41,4,0,91.111111,8.888889,0,0.866667,0.059259,0.243432,13.333333,51.639778,71.323313,4296,-4224.676687,1.584963,95.466667,-93.881704,62.643613,1.39208,87.830487,1,15,0,0,1,30,0,0,1,1,1,1,1,1,0.911111,0.044444,0.955556,0.088889,0.915535,0.911111,0.910714,0.869212,0.933333,0.865326,0.910714,0.911111,0,0,0,0,0,0,1301,8563,4423,91.111111,33.333333,?,?,?,?,?
iris,6,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,105,45,43,2,0,95.555556,4.444444,0,0.933333,0.02963,0.172133,6.666667,36.514837,71.323313,2148,-2076.676687,1.584963,47.733333,-46.148371,66.983463,1.488521,93.915243,1,15,0,0,1,30,0,0,1,1,1,1,1,1,0.955556,0.022222,0.977778,0.044444,0.955556,0.955556,0.955556,0.933333,0.966667,0.928889,0.955556,0.955556,0,0,0,0,0,0,1301,8563,4423,95.555556,33.333333,?,?,?,?,?
iris,7,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,105,45,43,2,0,95.555556,4.444444,0,0.933333,0.02963,0.172133,6.666667,36.514837,71.323313,2148,-2076.676687,1.584963,47.733333,-46.148371,66.983463,1.488521,93.915243,1,15,0,0,1,30,0,0,1,1,1,1,1,1,0.955556,0.022222,0.977778,0.044444,0.955556,0.955556,0.955556,0.933333,0.966667,0.928889,0.955556,0.955556,0,0,0,0,0,0,1301,8563,4423,95.555556,33.333333,?,?,?,?,?
iris,8,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,105,45,44,1,0,97.777778,2.222222,0,0.966667,0.014815,0.121716,3.333333,25.819889,71.323313,1074,-1002.676687,1.584963,23.866667,-22.281704,69.153388,1.536742,96.957622,1,15,0,0,1,30,0,0,1,1,1,1,1,1,0.977778,0.011111,0.988889,0.022222,0.979167,0.977778,0.977753,0.967451,0.983333,0.964352,0.977753,0.977778,0,0,0,0,0,0,1300,8563,4423,97.777778,33.333333,?,?,?,?,?
iris,9,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,105,45,40,5,0,88.888889,11.111111,0,0.833333,0.074074,0.272166,16.666667,57.735027,71.323313,5370,-5298.676687,1.584963,119.333333,-117.748371,60.473688,1.34386,84.788108,1,15,0,0,1,30,0,0,1,1,1,1,1,1,0.888889,0.055556,0.944444,0.111111,0.898148,0.888889,0.887767,0.838668,0.916667,0.83642,0.887767,0.888889,0,0,0,0,0,0,1301,8563,4423,88.888889,33.333333,?,?,?,?,?
iris,10,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,105,45,42,3,0,93.333333,6.666667,0,0.9,0.044444,0.210819,10,44.72136,71.323313,3222,-3150.676687,1.584963,71.6,-70.015037,64.813538,1.440301,90.872865,1,15,0,0,1,30,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,0.95,0.9,0.93266,0.933333,0,0,0,0,0,0,1301,8563,4423,93.333333,33.333333,?,?,?,?,?
iris,11,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,105,45,40,5,0,88.888889,11.111111,0,0.833333,0.074074,0.272166,16.666667,57.735027,71.323313,5370,-5298.676687,1.584963,119.333333,-117.748371,60.473688,1.34386,84.788108,1,15,0,0,1,30,0,0,1,1,1,1,1,1,0.888889,0.055556,0.944444,0.111111,0.898148,0.888889,0.887767,0.838668,0.916667,0.83642,0.887767,0.888889,0,0,0,0,0,0,1301,8563,4423,88.888889,33.333333,?,?,?,?,?
iris,12,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,105,45,41,4,0,91.111111,8.888889,0,0.866667,0.059259,0.243432,13.333333,51.639778,71.323313,4296,-4224.676687,1.584963,95.466667,-93.881704,62.643613,1.39208,87.830487,1,15,0,0,1,30,0,0,1,1,1,1,1,1,0.911111,0.044444,0.955556,0.088889,0.929825,0.911111,0.909502,0.87719,0.933333,0.870565,0.909502,0.911111,0,0,0,0,0,0,1301,8563,4423,91.111111,33.333333,?,?,?,?,?
iris,13,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,105,45,43,2,0,95.555556,4.444444,0,0.933333,0.02963,0.172133,6.666667,36.514837,71.323313,2148,-2076.676687,1.584963,47.733333,-46.148371,66.983463,1.488521,93.915243,1,15,0,0,1,30,0,0,1,1,1,1,1,1,0.955556,0.022222,0.977778,0.044444,0.960784,0.955556,0.955357,0.936291,0.966667,0.931155,0.955357,0.955556,0,0,0,0,0,0,1301,8563,4423,95.555556,33.333333,?,?,?,?,?
iris,14,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,105,45,43,2,0,95.555556,4.444444,0,0.933333,0.02963,0.172133,6.666667,36.514837,71.323313,2148,-2076.676687,1.584963,47.733333,-46.148371,66.983463,1.488521,93.915243,1,15,0,0,1,30,0,0,1,1,1,1,1,1,0.955556,0.022222,0.977778,0.044444,0.955556,0.955556,0.955556,0.933333,0.966667,0.928889,0.955556,0.955556,0,0,0,0,0,0,1300,8563,4423,95.555556,33.333333,?,?,?,?,?
iris,15,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,105,45,40,5,0,88.888889,11.111111,0,0.833333,0.074074,0.272166,16.666667,57.735027,71.323313,5370,-5298.676687,1.584963,119.333333,-117.748371,60.473688,1.34386,84.788108,1,15,0,0,1,30,0,0,1,1,1,1,1,1,0.888889,0.055556,0.944444,0.111111,0.898148,0.888889,0.887767,0.838668,0.916667,0.83642,0.887767,0.888889,0,0,0,0,0,0,1301,8563,4423,88.888889,33.333333,?,?,?,?,?
iris,16,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,105,45,42,3,0,93.333333,6.666667,0,0.9,0.044444,0.210819,10,44.72136,71.323313,3222,-3150.676687,1.584963,71.6,-70.015037,64.813538,1.440301,90.872865,1,15,0,0,1,30,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.934524,0.933333,0.933259,0.900682,0.95,0.896032,0.933259,0.933333,0,0,0,0,0,0,1301,8563,4423,93.333333,33.333333,?,?,?,?,?
iris,17,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,105,45,41,4,0,91.111111,8.888889,0,0.866667,0.059259,0.243432,13.333333,51.639778,71.323313,4296,-4224.676687,1.584963,95.466667,-93.881704,62.643613,1.39208,87.830487,1,15,0,0,1,30,0,0,1,1,1,1,1,1,0.911111,0.044444,0.955556,0.088889,0.915535,0.911111,0.910714,0.869212,0.933333,0.865326,0.910714,0.911111,0,0,0,0,0,0,1301,8563,4423,91.111111,33.333333,?,?,?,?,?
iris,18,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,105,45,42,3,0,93.333333,6.666667,0,0.9,0.044444,0.210819,10,44.72136,71.323313,3222,-3150.676687,1.584963,71.6,-70.015037,64.813538,1.440301,90.872865,1,15,0,0,1,30,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.934524,0.933333,0.933259,0.900682,0.95,0.896032,0.933259,0.933333,0,0,0,0,0,0,1301,8563,4423,93.333333,33.333333,?,?,?,?,?
iris,19,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,105,45,41,4,0,91.111111,8.888889,0,0.866667,0.059259,0.243432,13.333333,51.639778,71.323313,4296,-4224.676687,1.584963,95.466667,-93.881704,62.643613,1.39208,87.830487,1,15,0,0,1,30,0,0,1,1,1,1,1,1,0.911111,0.044444,0.955556,0.088889,0.915535,0.911111,0.910714,0.869212,0.933333,0.865326,0.910714,0.911111,0,0,0,0,0,0,1301,8563,4423,91.111111,33.333333,?,?,?,?,?
iris,20,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,105,45,45,0,0,100,0,0,1,0,0,0,0,71.323313,0,71.323313,1.584963,0,1.584963,71.323313,1.584963,100,1,15,0,0,1,30,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1300,8563,4423,100,33.333333,?,?,?,?,?
contact-lenses,1,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20231230.1524,17,7,5,2,0,71.428571,28.571429,0,0.363636,0.217178,0.336217,60.009712,83.131636,8.63441,5.771229,2.863181,1.233487,0.824461,0.409026,3.992112,0.570302,46.234916,1,1,0,0,1,6,0,0,1,1,1,1,1,1,0.714286,0.380952,0.619048,0.285714,0.714286,0.714286,0.714286,0.333333,0.833333,0.887755,0.6,0.714286,0,0,0,0,0,0,76004,2900,2210,100,66.666667,?,-1,?,?,?
contact-lenses,2,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20231230.1524,17,7,5,2,0,71.428571,28.571429,0,0.517241,0.24281,0.328563,63.7375,74.541535,9.913647,5.593436,4.320211,1.416235,0.799062,0.617173,4.625514,0.660788,46.658048,0.5,1,0,0,1,5,0.5,1,1,0.5,0.666667,0.645497,1,1,0.714286,0.214286,0.785714,0.285714,0.785714,0.714286,0.714286,0.514737,0.904762,0.952381,0.694444,0.714286,0.016,0,0.015625,0,15.625,0,80537,2900,2210,100,80.952381,?,-1,?,?,?
contact-lenses,3,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20231230.1524,17,7,5,2,0,71.428571,28.571429,0,0.391304,0.197085,0.286656,51.734921,65.033928,9.913647,4.105437,5.80821,1.416235,0.586491,0.829744,5.80821,0.829744,58.588029,0.5,1,0,0,1,5,0.5,1,1,0.5,0.666667,0.645497,1,1,0.714286,0.380952,0.619048,0.285714,?,0.714286,?,?,1,1,?,0.714286,0,0,0,0,0,0,84275,2900,2210,100,71.428571,?,-1,?,?,?
contact-lenses,4,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20231230.1524,17,7,5,2,0,71.428571,28.571429,0,0.391304,0.225605,0.350021,59.221429,79.409787,9.913647,5.881851,4.031796,1.416235,0.840264,0.575971,4.413688,0.630527,44.521333,0.5,1,0,0,1,5,0.5,1,1,0.5,0.666667,0.645497,1,1,0.714286,0.380952,0.619048,0.285714,?,0.714286,?,?,0.952381,0.904762,?,0.714286,0,0,0,0,0,0,82937,2900,2210,100,66.666667,?,-1,?,?,?
